R018;1;13
R020;3;12
R006;1;11
R015;8;4
R016;4;10
RX01;7;7
R404;3;1
R012;2;9
R010;3;9
R014;4;6
RX01;6;2
R001;2;11
R005;5;8
R005;8;1
R999;3;12
R014;5;2
R014;8;14
BADROOM;4;5
R020;7;11
R012;1;8
R013;-1;6
R012;2;12
R005;6;3
R015;-1;13
R015;4;4
R011;7;0
R002;4;14
R011;6;7
R013;3;8
R017;2;2
R006;6;6
R010;7;8
R002;6;7
R002;7;13
R006;-3;11
R002;4;6
R019;3;6
R003;6;11
R004;3;7
R999;5;4
R000;8;3
R015;8;0
R000;2;5
R006;3;9
R007;4;1
R019;3;2
R013;0;7
R019;6;8
R017;3;3
R002;3;3
R008;5;5
R018;5;2
R006;3;10
R020;1;1
R019;4;7
R001;5;5
R013;2;3
R016;6;6
R011;6;-5
R017;6;2
R008;1;7
R014;3;10
R007;8;-1
R010;2;9
R008;6;5
R016;1;7
R009;7;7
R018;5;9
R018;2;2
R011;6;4
R013;1;12
R016;3;9
R020;7;0
R019;8;5
R001;2;0
R001;5;0
R002;3;12
R013;4;12
R001;7;12
R017;8;12
R005;6;-1
R011;-1;6
R009;4;-1
R008;5;12
R016;6;13
R010;7;7
R005;5;-5
R015;8;14
R018;3;12
R008;4;1
R011;2;3
R018;-3;8
R007;5;11
R003;4;12
R002;3;14
R002;-1;3
R000;1;10
R011;8;3
R015;2;12
R009;1;13
R007;7;9
R013;3;-1
R008;7;13
R011;1;6
R002;8;7
R010;5;4
R005;8;10
R018;4;11
R003;6;10
R018;4;3
R017;4;8
R017;1;9
R019;8;5
R013;1;10
R014;2;1
R999;-1;7
R005;7;7
R013;3;6
R018;3;4
R001;-1;9
R013;4;3
R004;7;1
R003;1;11
R002;1;4
R002;5;12
R019;6;3
BADROOM;5;9
R404;7;1
RX01;6;7
R013;8;4
R005;1;7
R005;5;11
R015;2;14
R009;1;4
R019;4;14
R000;-3;4
R999;8;12
R007;4;13
R015;6;6
R016;8;6
R000;1;4
R001;7;4
R013;4;11
R000;8;0
R015;6;12
R006;1;14
R002;7;11
R005;8;10
R020;8;9
R001;5;5
R014;3;2
R008;5;5
R003;7;4
R404;2;14
R002;7;8
R001;2;7
R011;2;1
R019;1;11
BADROOM;1;14
R007;7;5
R008;7;9
R005;2;6
R014;2;13
R020;6;5
R015;6;7
R019;2;5
R003;3;13
R013;2;5
R009;2;8
R017;1;9
R020;7;7
R003;4;3
R006;5;3
R014;5;2
R008;8;4
R005;7;10
R011;7;14
R020;6;12
R011;7;-1
R016;-3;5
R013;4;9
R018;8;4
R010;2;13
R016;5;11
R014;2;10
R013;7;13
BADROOM;2;4
R012;1;11
R013;-1;-1
R004;4;7
R019;3;1
R010;2;12
R010;4;6
R015;8;5
R004;6;11
R008;3;7
R404;3;11
R001;4;7
R007;2;13
R006;4;5
R016;6;10
R004;8;14
R010;2;6
R010;6;9
R020;7;8
R006;8;3
R015;6;-1
R013;0;7
R014;8;2
R008;5;5
R015;8;2
R009;6;13
R015;7;14
R008;1;6
R003;2;4
R019;7;3
R007;6;10
R011;-1;5
BADROOM;0;3
RX01;5;3
R005;6;13
R013;5;7
R003;5;6
R016;1;14
R015;6;13
R007;-3;6
R011;3;8
R002;8;14
R015;7;12
R000;5;6
R012;3;11
R008;2;1
R003;4;8
R011;7;8
R013;2;6
R005;3;11
R017;3;12
R005;8;2
R005;7;7
R005;2;10
R020;1;11
R007;4;5
R008;2;11
R017;1;-1
R019;3;13
R019;5;1
RX01;7;7
R018;3;5
R007;-3;7
R003;7;14
R008;7;10
R010;3;12
R001;6;13
R009;3;14
R004;1;7
R003;2;9
R016;3;5
R019;2;9
R001;8;3
R002;7;4
R011;2;2
R002;1;-5
