companyName;destination;transportType;weightKg;distanceKm;price;deliveryDays;fuelLiters;date
NorthWind;Bratislava;Train;7158;777.6;9380.27;2;993.2;25.08.2023
EuroTrans;Bratislava;Truck;23173;558.1;8202.43;3;155.7;19.02.2025
EuroTrans;Dresden;Truck;18155;474.6;10839.84;2;134.5;05.12.2023
MoveIt;Berlin;Ship;135825;2312.6;18334.22;13;14986.4;02.12.2025
RoadRunner;Budapest;Plane;2682;1802.1;66987.63;3;19882.6;05.04.2023
CargoBridge;Paris;Ship;135111;3764.3;18213.71;12;34162.4;17.08.2024
ShipLine;Amsterdam;Truck;11507;1106.2;7038.54;3;422.0;02.03.2017
RailCargo;Paris;Truck;9196;129.8;4817.77;2;41.8;18.09.2018
CargoOne;Warsaw;Ship;144180;2680.7;17518.93;8;21502.5;23.11.2019
RoadRunner;Frankfurt;Truck;6278;1084.4;5946.76;3;377.9;14.01.2021
NorthWind;Hamburg;Truck;21815;130.5;3745.64;3;50.2;03.02.2025
HeavyLift;Frankfurt;Truck;13235;519.7;5430.32;3;178.7;02.04.2019
NorthWind;Munich;Train;72319;892.2;10615.39;5;1468.8;20.10.2021
NorthWind;Paris;Truck;7052;558.5;6675.63;3;204.6;22.05.2022
FastMove;Zurich;Train;44433;1655.8;12113.18;4;3452.8;17.01.2024
BlueLogistics;Budapest;Truck;15619;331.6;6012.34;3;129.5;15.06.2021
BlueLogistics;Copenhagen;Truck;21547;330.6;8190.53;3;143.0;24.09.2023
RailCargo;Amsterdam;Truck;17022;1151.7;9291.35;4;411.2;30.06.2016
TransMax;Ljubljana;Train;78547;2472.2;20797.67;5;5301.3;01.01.2025
SkyCargo;Brussels;Ship;88444;4744.7;21923.48;18;31943.6;24.02.2022
HeavyLift;Frankfurt;Truck;14463;325.1;12162.21;1;97.4;21.01.2021
FastMove;Budapest;Truck;5057;490.5;4006.73;3;112.0;31.08.2019
CargoOne;Hamburg;Ship;15240;3604.2;17822.54;17;27918.0;11.12.2018
HeavyLift;Copenhagen;Ship;224687;7664.7;61946.51;21;74000.2;22.06.2020
BlueLogistics;Bratislava;Truck;11064;83.4;4985.66;2;31.7;24.04.2025
EuroTrans;Dresden;Truck;18543;503.1;7712.22;3;139.3;14.01.2017
CargoOne;Bratislava;Truck;10760;293.4;6591.51;2;115.7;23.09.2019
HeavyLift;Vienna;Truck;1756;911.4;4327.57;5;245.0;23.04.2022
CargoOne;Prague;Plane;353;1596.5;62312.03;2;10723.5;18.08.2025
BlueLogistics;Ljubljana;Train;22492;1963.9;12646.25;6;3795.1;01.11.2016
HeavyLift;Warsaw;Train;75970;2336.4;15584.55;6;5439.0;08.11.2015
RoadRunner;Amsterdam;Truck;22471;938.4;10416.23;4;278.4;23.11.2018
SkyCargo;Brussels;Train;45225;358.6;12517.46;2;559.1;23.01.2019
NorthWind;Ljubljana;Train;68886;1201.6;11397.26;6;1906.6;03.06.2020
ShipLine;Brussels;Ship;173980;5065.8;23733.87;19;49260.8;25.09.2017
TransMax;Ljubljana;Train;44592;1736.8;11571.68;4;3448.2;12.12.2023
HeavyLift;Paris;Truck;9102;735.6;5014.32;3;237.8;23.07.2019
ShipLine;Dresden;Ship;262331;5772.4;31615.35;17;33057.2;23.09.2017
HeavyLift;Milan;Truck;13992;660.6;4792.64;4;228.4;09.06.2018
HeavyLift;Amsterdam;Truck;3967;271.5;2630.08;3;104.4;14.04.2023
ShipLine;Bratislava;Train;69265;2446.2;17885.34;6;5626.3;18.01.2019
EuroTrans;Zurich;Truck;9038;664.3;9032.25;2;159.4;25.02.2022
MoveIt;Zagreb;Truck;9367;64.1;2093.36;2;19.9;21.07.2025
MoveIt;Zagreb;Truck;16163;125.1;7938.17;1;45.9;24.04.2021
HeavyLift;Vienna;Plane;12544;1151.5;62145.03;2;12488.5;08.04.2019
ShipLine;Ljubljana;Truck;14101;726.8;8444.16;3;260.8;17.08.2025
TransMax;Hamburg;Train;11141;808.7;5396.87;3;855.1;20.01.2020
QuickCargo;Zagreb;Truck;23215;316.2;7092.2;2;136.6;19.12.2017
TransMax;Hamburg;Truck;21271;676.2;8534.46;2;215.5;21.11.2023
HeavyLift;Zurich;Truck;10014;589.0;5787.49;3;237.4;26.11.2015
RoadRunner;Berlin;Ship;136264;6088.6;43673.83;13;34925.3;01.08.2021
CargoOne;Bratislava;Train;23462;1955.2;15945.38;5;3182.0;25.07.2021
RailCargo;Zagreb;Plane;6710;3085.1;114134.48;3;32657.6;12.10.2022
ShipLine;Zurich;Train;72602;1121.0;13236.44;3;1605.9;31.08.2023
RailCargo;Frankfurt;Ship;289475;808.3;12822.03;9;5027.6;03.08.2020
NorthWind;Ljubljana;Ship;292949;2265.6;23964.4;8;17349.2;29.04.2015
NorthWind;Amsterdam;Train;2292;914.7;9405.43;4;832.7;05.03.2020
FastMove;Budapest;Truck;16724;874.1;6594.92;4;288.9;14.02.2020
SkyCargo;Budapest;Truck;16704;1110.1;5220.33;5;311.1;31.07.2024
RailCargo;Paris;Plane;13463;3292.6;185768.19;2;39107.6;27.05.2022
ShipLine;Budapest;Truck;10943;607.0;5632.75;3;202.9;11.02.2017
QuickCargo;Amsterdam;Train;54341;737.2;25302.16;2;1439.2;01.05.2019
NorthWind;Budapest;Truck;16509;92.6;4413.05;3;29.1;13.02.2016
SkyCargo;Ljubljana;Truck;21505;215.8;4968.44;3;61.5;27.12.2021
QuickCargo;Copenhagen;Train;70442;2159.1;20891.32;5;3551.7;13.10.2024
SkyCargo;Berlin;Train;38167;740.0;5431.39;5;1356.4;08.02.2022
QuickCargo;Warsaw;Truck;998;848.1;7328.5;2;294.0;19.08.2016
BlueLogistics;Frankfurt;Truck;5950;834.1;8434.99;3;195.2;13.09.2017
ShipLine;Budapest;Truck;15109;783.6;10287.37;3;197.5;07.08.2022
SkyCargo;Munich;Truck;19303;1137.0;9152.98;4;497.4;22.05.2018
BlueLogistics;Copenhagen;Ship;204944;1567.9;16350.52;11;13324.5;19.12.2025
MoveIt;Copenhagen;Truck;22522;700.8;8470.73;4;315.6;04.05.2024
CargoBridge;Zurich;Ship;189717;2456.9;16647.07;9;14834.7;10.08.2023
NorthWind;Budapest;Train;5667;2277.8;14139.06;5;2923.2;05.01.2016
CargoBridge;Zurich;Truck;6629;527.8;9174.02;2;168.5;30.03.2025
HeavyLift;Munich;Truck;15839;998.4;7413.54;5;305.4;02.04.2020
FastMove;Budapest;Ship;213358;2424.4;18901.65;16;24149.7;27.02.2015
HeavyLift;Dresden;Truck;22081;473.9;10765.83;2;162.2;27.07.2022
BlueLogistics;Zagreb;Truck;18446;1066.9;11795.71;3;396.1;16.03.2020
CargoBridge;Zurich;Train;6443;468.4;2862.73;5;539.9;13.12.2024
SkyCargo;Budapest;Truck;22872;476.7;5099.33;4;167.6;27.08.2019
NorthWind;Warsaw;Ship;151664;5232.7;33140.14;12;35267.5;04.08.2024
GlobalFreight;Warsaw;Plane;14793;2520.3;64790.9;3;23900.3;15.05.2016
MoveIt;Ljubljana;Truck;21004;293.9;5467.85;3;80.5;30.05.2016
TransMax;Hamburg;Truck;6838;929.9;4838.82;4;343.3;05.11.2023
CargoBridge;Prague;Truck;4309;1181.6;4857.1;4;423.1;23.06.2016
CargoOne;Milan;Ship;174749;2513.1;14955.94;7;15932.3;10.04.2016
QuickCargo;Vienna;Truck;16867;944.7;6265.65;4;318.9;26.02.2023
TransMax;Frankfurt;Truck;1070;789.8;7623.77;2;228.9;01.07.2020
QuickCargo;Ljubljana;Truck;19982;142.9;15150.92;1;41.3;26.12.2022
GlobalFreight;Copenhagen;Plane;7453;3418.1;119841.39;3;30780.4;05.05.2022
NorthWind;Dresden;Train;59686;694.6;8795.24;5;1154.0;08.03.2023
FastMove;Paris;Truck;12315;814.9;4088.51;5;297.2;16.12.2015
FastMove;Brussels;Truck;4313;899.6;5235.26;4;287.8;15.05.2016
RailCargo;Milan;Ship;226740;7576.1;65763.23;23;72683.3;11.12.2018
FastMove;Frankfurt;Truck;7398;805.2;4901.05;4;231.6;15.02.2018
RoadRunner;Amsterdam;Ship;296891;6885.1;54560.9;15;79477.6;08.01.2017
HeavyLift;Zurich;Plane;2992;2430.6;59215.97;3;22758.1;06.02.2022
CargoOne;Vienna;Train;55528;694.8;10800.94;3;954.6;23.07.2025
RoadRunner;Vienna;Ship;31089;1920.2;12879.73;12;9492.5;16.12.2019
RailCargo;Bratislava;Truck;11360;639.2;6966.04;3;184.6;25.06.2022
HeavyLift;Berlin;Truck;1845;1182.1;6297.44;3;307.8;12.11.2017
HeavyLift;Paris;Truck;14161;622.0;11199.44;2;196.3;06.05.2024
NorthWind;Milan;Truck;1436;1041.0;3616.05;4;299.3;25.10.2019
RoadRunner;Copenhagen;Train;15596;1160.7;7941.5;4;2185.8;28.02.2020
MoveIt;Milan;Truck;8022;1021.2;4864.62;4;305.2;13.05.2023
GlobalFreight;Amsterdam;Truck;16777;243.4;5098.5;3;85.5;09.12.2018
QuickCargo;Budapest;Truck;6514;218.4;7593.67;1;54.4;01.09.2025
TransMax;Zagreb;Truck;19038;698.3;8861.41;3;300.1;02.01.2022
GlobalFreight;Paris;Truck;14540;128.5;4933.52;2;50.3;31.10.2015
HeavyLift;Ljubljana;Truck;9456;115.4;8781.38;1;44.7;07.09.2020
RailCargo;Ljubljana;Train;5876;2394.7;12912.33;6;3960.6;02.05.2020
SkyCargo;Budapest;Plane;13306;2977.9;76733.77;4;27331.8;07.12.2016
CargoOne;Amsterdam;Train;69190;2479.3;13459.07;6;3663.6;02.08.2019
TransMax;Paris;Train;44363;320.4;11241.6;2;393.2;12.02.2023
MoveIt;Budapest;Truck;4684;720.2;4797.46;4;195.5;12.06.2016
RoadRunner;Vienna;Truck;10813;483.2;6500.61;3;172.3;08.09.2022
CargoBridge;Frankfurt;Truck;16712;821.0;6428.66;3;263.5;17.08.2025
TransMax;Zagreb;Truck;5127;1200.0;6626.54;3;442.9;13.05.2024
QuickCargo;Frankfurt;Truck;20301;437.3;10490.08;2;146.7;25.08.2023
RoadRunner;Munich;Train;48249;300.5;7076.8;3;420.5;25.05.2023
TransMax;Ljubljana;Truck;15418;325.0;5527.47;3;93.1;10.12.2019
ShipLine;Zurich;Ship;224498;4420.9;34151.22;19;44855.9;21.10.2017
CargoOne;Zagreb;Ship;58786;4792.7;18101.6;17;32031.1;18.10.2016
HeavyLift;Ljubljana;Plane;7187;1310.4;151278.97;1;16159.6;08.06.2025
CargoOne;Brussels;Truck;7775;627.3;4486.19;3;150.9;10.02.2016
MoveIt;Paris;Ship;155407;1790.7;17905.39;14;13231.1;05.04.2020
ShipLine;Prague;Plane;3553;604.5;32086.61;2;5631.1;31.03.2016
TransMax;Zurich;Truck;7863;190.1;3303.06;2;70.2;24.02.2025
ShipLine;Dresden;Truck;7977;642.7;2908.01;4;179.3;26.05.2021
RailCargo;Munich;Train;47765;396.9;18854.23;2;668.5;19.03.2021
CargoOne;Copenhagen;Ship;207837;1113.4;10425.5;14;7348.7;13.11.2018
BlueLogistics;Warsaw;Ship;179335;6093.3;33845.87;14;42087.3;24.04.2024
TransMax;Ljubljana;Plane;3006;3131.9;107848.99;3;18298.1;16.04.2018
BlueLogistics;Berlin;Ship;170463;7177.7;61512.86;23;55964.0;03.11.2017
CargoOne;Hamburg;Truck;1616;1041.5;3074.97;5;276.1;22.12.2024
RailCargo;Ljubljana;Ship;102946;3583.8;29947.3;13;25138.9;26.12.2023
FastMove;Brussels;Truck;5963;742.8;4555.02;3;206.3;09.06.2018
ShipLine;Brussels;Truck;14701;560.5;10817.75;2;227.3;29.01.2018
NorthWind;Berlin;Truck;11954;783.1;5135.24;3;293.5;08.07.2024
RoadRunner;Ljubljana;Truck;21190;127.3;7809.15;2;43.2;13.08.2022
ShipLine;Milan;Truck;18856;927.5;8117.26;3;305.1;09.10.2025
FastMove;Prague;Train;51223;1347.8;11542.26;6;1754.7;28.05.2017
RoadRunner;Zurich;Train;26737;2496.8;16185.15;5;4627.5;29.12.2019
FastMove;Paris;Train;72589;1831.9;19804.62;5;4095.7;26.05.2025
QuickCargo;Munich;Ship;68628;4463.0;20375.16;19;37661.8;18.01.2019
SkyCargo;Milan;Truck;4302;1180.5;5862.16;4;271.3;23.01.2023
ShipLine;Frankfurt;Truck;18888;520.8;10862.91;2;228.1;17.08.2022
SkyCargo;Milan;Truck;18115;1003.4;9278.03;4;294.1;19.03.2025
MoveIt;Berlin;Ship;164448;4530.3;33009.9;12;29811.4;20.07.2025
SkyCargo;Zurich;Ship;293799;2604.4;19575.75;10;25231.8;10.03.2022
EuroTrans;Budapest;Truck;19879;768.2;8109.38;3;332.3;29.11.2015
CargoOne;Bratislava;Train;55102;1964.0;15694.84;6;2442.3;14.03.2022
HeavyLift;Zagreb;Truck;13356;978.5;6590.73;3;252.1;06.06.2020
ShipLine;Hamburg;Truck;23589;215.2;7917.31;2;98.2;13.07.2023
GlobalFreight;Frankfurt;Train;61641;934.0;9737.41;3;1598.9;08.08.2025
RailCargo;Brussels;Truck;5283;1045.1;5354.31;5;403.1;14.10.2016
ShipLine;Frankfurt;Truck;16347;1060.9;11375.54;3;450.5;31.05.2017
RoadRunner;Milan;Truck;19629;373.6;6211.37;3;143.2;02.07.2024
FastMove;Brussels;Truck;12035;354.1;4554.78;3;108.3;08.03.2017
GlobalFreight;Dresden;Truck;14807;494.3;7776.07;3;148.1;01.05.2016
EuroTrans;Warsaw;Truck;11161;964.1;5148.42;4;292.1;03.07.2019
SkyCargo;Berlin;Truck;10963;207.6;3731.32;3;68.5;26.07.2016
GlobalFreight;Paris;Truck;9855;1189.2;7359.9;4;385.5;24.04.2021
HeavyLift;Zagreb;Ship;62464;3452.2;26093.22;18;24603.3;19.09.2022
NorthWind;Prague;Train;76321;810.7;10435.38;4;1697.4;20.01.2022
QuickCargo;Copenhagen;Truck;1084;832.8;3278.03;4;274.6;12.09.2019
EuroTrans;Brussels;Train;62314;1143.9;6684.85;5;2291.5;29.04.2017
SkyCargo;Paris;Plane;6193;3131.0;120185.21;3;22036.0;22.12.2018
NorthWind;Bratislava;Train;32811;642.2;14309.16;3;863.5;25.08.2023
HeavyLift;Hamburg;Train;63388;1324.7;15889.75;4;2926.4;14.05.2016
RoadRunner;Dresden;Truck;11359;1177.2;4960.05;5;450.5;04.01.2023
FastMove;Milan;Plane;12264;4107.8;91178.13;4;33066.5;22.10.2022
HeavyLift;Budapest;Truck;7890;902.0;7809.6;3;312.9;04.08.2015
FastMove;Brussels;Truck;22371;593.3;7369.86;4;163.5;25.07.2019
NorthWind;Zagreb;Truck;9462;279.4;5422.9;2;97.2;09.06.2021
BlueLogistics;Dresden;Train;5388;2155.8;11625.77;7;2189.2;24.04.2025
CargoOne;Copenhagen;Ship;156764;2141.4;14577.63;14;9900.2;04.10.2018
HeavyLift;Ljubljana;Plane;8112;3488.2;72108.32;4;24490.7;26.01.2024
FastMove;Paris;Truck;8480;577.8;4654.87;3;133.4;25.07.2022
TransMax;Hamburg;Truck;13337;1034.6;4480.66;5;348.9;26.01.2017
EuroTrans;Zagreb;Truck;8595;335.3;4783.14;2;103.6;13.07.2021
QuickCargo;Prague;Truck;7793;463.5;5923.78;2;114.6;20.08.2020
CargoBridge;Zurich;Train;39171;1669.0;19702.93;4;2194.1;07.02.2020
QuickCargo;Milan;Truck;15478;681.6;6949.01;4;269.9;18.08.2022
TransMax;Vienna;Train;47919;1414.8;14299.32;3;2438.5;01.09.2020
BlueLogistics;Dresden;Truck;17100;427.3;9756.66;2;162.1;29.01.2025
SkyCargo;Ljubljana;Ship;274089;4064.7;31823.65;14;37087.8;16.06.2018
QuickCargo;Prague;Truck;7190;988.9;4959.73;4;229.5;04.09.2015
CargoBridge;Vienna;Plane;4723;3096.4;107622.51;3;34099.2;30.03.2022
RailCargo;Milan;Plane;14267;2603.6;49565.8;3;24850.7;22.10.2024
SkyCargo;Budapest;Train;23892;999.9;6446.12;5;1372.1;12.05.2024
CargoOne;Prague;Plane;11801;3046.5;111351.49;3;31369.8;18.11.2018
EuroTrans;Bratislava;Truck;3747;1056.5;8651.86;3;350.0;20.12.2024
CargoOne;Amsterdam;Truck;1150;166.0;2405.84;2;53.9;01.07.2015
RailCargo;Ljubljana;Truck;1899;299.9;6165.39;1;115.5;17.06.2021
GlobalFreight;Paris;Truck;21683;1057.7;7520.42;4;366.7;20.08.2021
CargoBridge;Munich;Train;65462;1182.6;19211.61;3;1934.0;18.11.2020
GlobalFreight;Brussels;Truck;6075;394.9;4308.74;3;120.6;08.12.2022
EuroTrans;Ljubljana;Plane;6844;3593.1;73268.66;3;24617.0;02.04.2022
FastMove;Ljubljana;Ship;104867;1465.7;13338.27;6;9251.0;26.10.2015
BlueLogistics;Dresden;Truck;10960;290.2;4486.37;2;116.1;26.04.2023
FastMove;Zagreb;Plane;11550;4325.9;127889.65;3;56002.6;09.04.2019
ShipLine;Dresden;Train;47639;909.4;10756.11;4;1504.7;07.04.2020
TransMax;Paris;Plane;6801;2538.9;128307.96;2;30353.5;16.03.2021
CargoBridge;Brussels;Truck;7587;275.6;5160.34;2;103.4;06.09.2022
GlobalFreight;Bratislava;Ship;262213;4318.1;24281.06;14;43262.0;16.02.2021
ShipLine;Munich;Plane;10535;3481.8;95199.22;4;35069.7;04.03.2024
NorthWind;Berlin;Ship;126337;3769.2;18421.29;10;19485.1;05.09.2015
RoadRunner;Zagreb;Train;70258;236.2;8580.91;3;316.2;17.12.2025
HeavyLift;Prague;Train;56936;1805.1;7470.18;6;3857.1;01.09.2016
BlueLogistics;Hamburg;Train;46957;780.6;11539.32;3;1209.2;03.05.2021
BlueLogistics;Amsterdam;Truck;2691;1002.3;6297.7;4;364.3;03.04.2019
RailCargo;Dresden;Truck;23080;782.3;15447.0;2;287.0;06.05.2021
MoveIt;Warsaw;Ship;125463;7417.9;58217.01;17;70198.0;10.07.2015
CargoBridge;Vienna;Train;71676;844.9;13209.03;4;1157.9;13.10.2025
BlueLogistics;Budapest;Ship;213821;5931.5;40293.44;21;41128.3;11.07.2024
RailCargo;Dresden;Truck;4635;919.0;3830.72;4;312.0;17.11.2018
CargoOne;Warsaw;Truck;11210;1014.5;7660.67;4;352.9;29.08.2018
CargoOne;Bratislava;Ship;124610;4044.0;24650.97;13;40007.1;30.05.2022
RailCargo;Vienna;Ship;134210;2926.7;15244.42;14;14148.6;09.02.2022
EuroTrans;Copenhagen;Truck;220;172.5;1417.5;3;48.4;24.12.2015
EuroTrans;Brussels;Truck;13420;688.0;11248.2;2;179.5;19.10.2023
GlobalFreight;Copenhagen;Truck;2825;525.9;5299.06;3;163.1;04.11.2020
EuroTrans;Copenhagen;Truck;8845;359.3;5714.35;2;86.5;06.06.2020
TransMax;Vienna;Truck;23672;1135.9;6493.82;4;438.2;01.06.2018
CargoOne;Copenhagen;Truck;10848;763.2;8692.03;3;239.4;31.08.2021
EuroTrans;Zurich;Truck;6631;1139.4;6017.64;4;289.5;30.03.2023
QuickCargo;Zagreb;Plane;5359;4800.9;86802.8;4;54874.3;28.04.2021
BlueLogistics;Dresden;Truck;931;932.8;4451.94;5;267.0;08.04.2018
MoveIt;Vienna;Ship;219508;6528.7;33330.67;20;39369.1;23.09.2016
QuickCargo;Brussels;Ship;256257;1332.5;19398.35;10;11684.4;10.09.2019
SkyCargo;Berlin;Ship;286493;3388.6;17017.27;14;38465.1;15.06.2022
GlobalFreight;Munich;Train;52878;301.9;5325.23;4;461.4;08.02.2016
HeavyLift;Amsterdam;Train;76589;1393.2;12248.2;5;2222.8;15.08.2022
RoadRunner;Frankfurt;Truck;15869;1197.4;12918.72;3;392.5;20.07.2025
QuickCargo;Budapest;Truck;6828;444.5;3526.52;3;126.9;28.01.2020
GlobalFreight;Vienna;Truck;3821;981.7;5396.09;3;269.5;05.06.2025
QuickCargo;Amsterdam;Train;43883;1469.4;9163.62;5;3067.5;25.01.2017
EuroTrans;Brussels;Truck;6515;898.0;4532.15;3;268.5;14.02.2018
TransMax;Vienna;Train;70871;2038.9;18447.16;4;3379.5;03.09.2024
ShipLine;Frankfurt;Plane;6387;2223.7;54091.51;3;22149.5;03.12.2021
EuroTrans;Zurich;Plane;11031;3745.9;83718.58;3;27329.5;11.10.2022
EuroTrans;Frankfurt;Truck;18885;735.9;9547.49;3;218.1;27.03.2022
CargoBridge;Munich;Train;18888;1326.2;16831.85;3;2365.5;03.09.2025
CargoOne;Zagreb;Truck;18451;987.5;8063.39;4;346.2;02.06.2024
ShipLine;Zagreb;Truck;7276;700.2;5780.37;3;191.7;17.02.2020
RoadRunner;Zagreb;Train;15469;460.4;12072.18;2;671.8;27.06.2023
CargoOne;Ljubljana;Train;13923;2476.5;8776.57;7;3858.6;13.05.2015
ShipLine;Bratislava;Truck;14437;989.2;6158.91;5;266.3;10.04.2023
RoadRunner;Milan;Ship;229482;5193.9;24667.02;13;31839.8;01.09.2015
RoadRunner;Milan;Train;22569;1572.8;10527.71;4;2631.8;15.08.2024
SkyCargo;Warsaw;Truck;13537;912.6;5753.56;5;386.7;17.09.2024
EuroTrans;Amsterdam;Truck;8161;420.4;4403.52;3;146.7;05.01.2018
NorthWind;Brussels;Truck;3100;136.8;2729.81;2;47.2;06.02.2020
ShipLine;Paris;Train;12708;2198.5;12345.51;6;2976.2;17.09.2015
TransMax;Dresden;Truck;6991;1163.3;5827.95;4;327.4;18.06.2016
RoadRunner;Zagreb;Ship;30380;7237.9;52312.17;15;51105.9;03.06.2025
MoveIt;Munich;Truck;14068;50.8;9607.78;1;18.8;13.10.2016
MoveIt;Bratislava;Truck;2750;464.5;4103.68;2;172.7;05.06.2018
QuickCargo;Amsterdam;Truck;3168;154.9;3545.4;1;45.9;17.08.2022
ShipLine;Prague;Truck;4001;445.1;1924.71;4;128.8;19.04.2019
FastMove;Warsaw;Truck;9855;472.7;7576.06;2;175.9;05.08.2022
EuroTrans;Vienna;Train;22011;219.5;3891.75;3;370.4;14.08.2019
RoadRunner;Ljubljana;Ship;57672;1424.2;12178.2;7;6146.4;25.10.2019
GlobalFreight;Budapest;Truck;8181;791.3;7621.69;3;265.3;29.09.2022
CargoOne;Zurich;Truck;6231;748.0;3577.14;4;204.9;15.09.2025
BlueLogistics;Zagreb;Truck;20958;327.2;8559.76;3;119.4;22.06.2025
GlobalFreight;Budapest;Truck;13840;1014.8;11777.08;3;374.5;22.08.2023
FastMove;Prague;Train;28777;231.7;18532.1;1;249.4;18.01.2022
QuickCargo;Frankfurt;Ship;215909;3849.7;27363.41;10;32254.6;23.06.2018
FastMove;Frankfurt;Plane;2565;5858.7;107238.39;5;47321.4;21.08.2022
NorthWind;Vienna;Truck;7869;553.1;7356.36;2;133.7;29.10.2021
CargoOne;Zurich;Train;23522;1713.5;15392.36;4;2886.1;08.09.2025
GlobalFreight;Frankfurt;Train;34480;2091.8;20476.83;4;2479.9;09.12.2024
FastMove;Prague;Truck;17215;543.7;8843.23;2;209.7;08.02.2020
SkyCargo;Milan;Truck;5518;1038.3;5818.33;3;274.4;08.02.2023
FastMove;Amsterdam;Train;2110;205.9;2825.6;2;265.1;11.06.2025
MoveIt;Berlin;Train;55467;2302.1;20681.6;5;3370.9;06.04.2024
FastMove;Milan;Truck;1775;824.3;8072.05;3;289.1;10.10.2015
CargoBridge;Ljubljana;Ship;167895;6369.4;22051.69;17;50939.3;28.04.2021
TransMax;Zurich;Train;48770;757.9;9448.86;4;1257.5;05.02.2025
SkyCargo;Amsterdam;Truck;833;1122.3;9720.32;3;297.6;31.08.2025
GlobalFreight;Prague;Ship;166224;3509.2;18822.34;10;27516.1;03.09.2015
EuroTrans;Bratislava;Truck;17081;1109.5;8262.6;4;463.9;06.07.2021
FastMove;Frankfurt;Truck;2502;993.0;5849.63;4;218.0;09.04.2018
HeavyLift;Paris;Plane;13649;2661.2;58156.02;3;24073.9;10.04.2017
EuroTrans;Warsaw;Truck;15321;239.0;7402.96;2;65.2;26.01.2020
HeavyLift;Ljubljana;Truck;5214;187.9;2517.27;3;51.1;30.05.2017
MoveIt;Paris;Truck;11706;867.8;7638.95;3;215.1;13.12.2016
CargoOne;Copenhagen;Ship;293421;4802.9;37878.63;13;41816.3;18.02.2015
CargoOne;Amsterdam;Truck;12247;997.2;5167.96;4;408.4;15.04.2025
MoveIt;Vienna;Truck;21217;124.1;9261.03;2;36.5;20.09.2018
FastMove;Berlin;Plane;9422;778.5;36486.55;2;8818.3;14.10.2019
EuroTrans;Milan;Truck;9220;265.2;5734.54;2;68.3;05.04.2022
HeavyLift;Zagreb;Truck;2048;683.3;7035.06;2;188.4;10.12.2023
SkyCargo;Amsterdam;Train;3059;2045.0;7357.28;7;3281.9;08.06.2020
GlobalFreight;Frankfurt;Truck;904;361.0;5066.52;2;87.5;28.08.2015
TransMax;Zagreb;Train;31008;1963.7;10091.93;7;2224.3;26.02.2024
TransMax;Berlin;Ship;208645;7624.2;58281.99;19;77170.5;23.08.2021
GlobalFreight;Milan;Plane;11497;655.1;55837.99;1;6882.8;20.05.2024
