hulka_id,dilna_id,datum_vyroby,drevo,jadro,delka_cm,ohebnost,cena_zlate,prodana
38,8,1628-10-05,Lípa,Bylinný kořen,34,Tvrdá,450,ne
39,8,1645-03-13,Třešeň,Jednorožčí vlas,27,Pružná,730,ano
40,8,1661-08-30,Jasan,Bylinný kořen,31,Velmi pružná,420,ano
41,9,1415-12-08,Tis,Ohnivý kámen,36,Tvrdá,830,ne
42,9,1428-05-22,Dub,Dračí struna,30,Poddajná,560,ano
43,9,1441-09-16,Habr,Ohnivý kámen,33,Pružná,900,ano
44,9,1454-03-01,Buk,Fénixovo pero,29,Tvrdá,750,ano
45,9,1467-07-14,Vrba,Ohnivý kámen,32,Velmi pružná,1020,ne
46,10,1882-04-19,Olše,Mořská perlička,28,Poddajná,440,ano
47,10,1895-10-07,Lípa,Fénixovo pero,31,Pružná,680,ano
48,10,1908-01-25,Třešeň,Mořská perlička,35,Tvrdá,510,ne
49,10,1921-06-12,Jasan,Jednorožčí vlas,27,Pružná,760,ano
50,10,1934-11-03,Buk,Mořská perlička,30,Velmi pružná,590,ano
51,11,1758-08-21,Dub,Fénixovo pero,29,Poddajná,650,ne
52,11,1771-03-09,Habr,Jednorožčí vlas,33,Pružná,880,ano
53,11,1784-07-18,Tis,Fénixovo pero,27,Tvrdá,720,ano
54,11,1797-12-30,Vrba,Vlčí chlup,31,Pružná,390,ne
55,11,1810-05-15,Lípa,Fénixovo pero,34,Velmi pružná,810,ano
56,12,1534-02-07,Tis,Temný krystal,37,Tvrdá,1450,ano
57,12,1548-09-23,Habr,Dračí struna,31,Poddajná,560,ne
58,12,1561-04-10,Dub,Temný krystal,28,Pružná,1300,ano
59,12,1575-11-19,Vrba,Vlčí chlup,34,Tvrdá,480,ano
60,12,1588-06-04,Buk,Temný krystal,30,Velmi pružná,1600,ne
61,13,1695-01-28,Jasan,Větrné pero,33,Poddajná,570,ano
62,13,1708-08-14,Olše,Fénixovo pero,29,Pružná,640,ne
63,13,1721-03-02,Lípa,Větrné pero,35,Tvrdá,620,ano
64,13,1734-09-17,Třešeň,Jednorožčí vlas,27,Pružná,790,ano
65,13,1747-04-28,Dub,Větrné pero,31,Velmi pružná,580,ne
66,14,1461-07-11,Buk,Jednorožčí vlas,28,Poddajná,920,ano
67,14,1474-02-25,Habr,Fénixovo pero,32,Pružná,670,ano
68,14,1487-10-08,Tis,Jednorožčí vlas,30,Tvrdá,1080,ne
69,14,1500-05-19,Vrba,Dračí struna,26,Pružná,510,ano
70,14,1513-12-31,Jasan,Jednorožčí vlas,34,Velmi pružná,990,ano
71,15,1612-03-16,Olše,Ohnivý kámen,35,Tvrdá,870,ne
72,15,1625-08-27,Lípa,Dračí struna,29,Poddajná,540,ano
73,15,1638-01-14,Třešeň,Ohnivý kámen,33,Pružná,950,ano
74,15,1651-06-02,Dub,Fénixovo pero,28,Tvrdá,680,ano
75,15,1664-11-18,Habr,Ohnivý kámen,31,Velmi pružná,1100,ne
76,16,1787-04-09,Buk,Bylinný kořen,27,Poddajná,360,ano
77,16,1800-10-23,Vrba,Fénixovo pero,31,Pružná,620,ne
78,16,1813-05-07,Tis,Bylinný kořen,29,Tvrdá,410,ano
79,16,1826-12-19,Jasan,Jednorožčí vlas,33,Pružná,740,ano
80,16,1839-07-30,Olše,Bylinný kořen,30,Velmi pružná,390,ne
81,17,1851-09-04,Lípa,Měsíční krystal,32,Poddajná,1030,ano
82,17,1864-03-18,Třešeň,Fénixovo pero,28,Pružná,590,ano
83,17,1877-08-05,Dub,Měsíční krystal,35,Tvrdá,1150,ne
84,17,1890-01-22,Habr,Dračí struna,27,Pružná,470,ano
85,17,1903-06-09,Buk,Měsíční krystal,31,Velmi pružná,1200,ano
86,18,1478-05-14,Vrba,Bouřkový kámen,34,Tvrdá,980,ne
87,18,1491-11-28,Tis,Fénixovo pero,30,Poddajná,650,ano
88,18,1504-04-16,Jasan,Bouřkový kámen,28,Pružná,1050,ano
89,18,1517-09-03,Olše,Dračí struna,33,Tvrdá,590,ano
90,18,1530-02-20,Lípa,Bouřkový kámen,29,Velmi pružná,1300,ne
91,19,1730-07-08,Třešeň,Měsíční krystal,31,Poddajná,880,ano
92,19,1743-12-22,Dub,Fénixovo pero,27,Pružná,610,ne
93,19,1756-05-10,Habr,Měsíční krystal,34,Tvrdá,960,ano
94,19,1769-10-26,Buk,Jednorožčí vlas,29,Pružná,720,ano
95,19,1782-03-14,Vrba,Měsíční krystal,32,Velmi pružná,1040,ne
96,20,1562-08-01,Tis,Dračí struna,36,Tvrdá,640,ano
97,20,1575-02-17,Jasan,Fénixovo pero,30,Poddajná,700,ne
98,20,1588-07-04,Olše,Dračí struna,28,Pružná,580,ano
99,20,1601-11-20,Lípa,Vlčí chlup,33,Tvrdá,450,ano
100,20,1614-04-08,Třešeň,Dračí struna,31,Velmi pružná,770,ne
